x,y
464878.45059238735,3971488.465737004
464877.47919794277,3971488.604137199
464876.4908823105,3971488.741261132
464875.569964239,3971488.9114955557
464874.55565919465,3971489.0502098007
464873.4996458339,3971489.180645632
464872.4714866153,3971489.2330186884
464871.35206480377,3971489.3687837627
464870.29000598687,3971489.534287308
464869.1901738815,3971489.718715924
464868.05630899273,3971489.8768395344
464867.0005823709,3971490.0185062895
464865.98079788213,3971490.1491756686
464864.86716852814,3971490.3124631373
464863.8094174996,3971490.452451781
464862.7913551988,3971490.587242108
464861.80686682917,3971490.7093167114
464860.8169569552,3971490.8835966326
464859.8335546471,3971491.0080803013
464858.81094379537,3971491.1593381544
464857.83955167077,3971491.2824605606
464856.8806930978,3971491.4125784487
464855.83328293875,3971491.5477538393
464854.86604798795,3971491.698162261
464853.8625270048,3971491.805459094
464852.6978585005,3971491.714732154
464851.7799440571,3971491.863826879
464850.8017930521,3971492.059132189
464849.78828711464,3971492.2308102497
464848.7115852303,3971492.4264492355
464847.6990476809,3971492.62690055
464846.7034707976,3971492.8381230207
464845.7412309527,3971493.1021819883
464844.75383203547,3971493.3421204626
464843.6910764867,3971493.518207273
464842.621615882,3971493.698044538
464841.56464672385,3971493.884503879
464840.5075322208,3971494.1076851753
464839.4512092776,3971494.371046274
464838.3718739998,3971494.6170337223
464837.33847671736,3971494.87011891
464836.22695401433,3971495.1560077174
464835.1580453864,3971495.3764603157
464834.0625674463,3971495.6363332565
464832.93550947885,3971495.8889831575
464831.8161614178,3971496.18667421
464830.6958528643,3971496.4267912535
464829.6140465811,3971496.60945254
464828.60661908344,3971496.8234136677
464827.55033763306,3971497.068350215
464826.4357962807,3971497.304053404
464825.35195823107,3971497.5506473994
464824.29709672823,3971497.8345878213
464823.16653301276,3971498.0883287024
464822.1341380665,3971498.409433641
464821.39295892423,3971499.110441395
464821.4696382998,3971500.000541099
464821.82795339014,3971500.9940611166
464822.26924526197,3971501.8350142613
464822.53983139916,3971502.4824472265
464822.6761362291,3971503.235452556
464822.8102277875,3971504.1087616533
464823.05531862815,3971505.1868322412
464823.23290138424,3971506.2483702567
464823.4256787602,3971507.3967426475
464823.51746548637,3971508.5780577012
464823.5093229499,3971509.8053549826
464823.42716259975,3971511.0044653867
464823.26097936434,3971512.2025387106
464823.0411412741,3971513.428532932
464822.76362590364,3971514.4754630327
464822.5552851438,3971515.558673142
464822.43346087314,3971516.637739965
464822.3305684508,3971517.5966579574
464822.2264867758,3971518.6061284705
464822.2822418515,3971519.619160112
464822.37741105066,3971520.666646613
464822.5195707335,3971521.7543445984
464822.7660311733,3971522.8788968227
464822.9760405937,3971523.902953412
464823.2205570227,3971524.9072916694
464823.38722073304,3971526.0220984207
464823.54517427826,3971527.116293857
464823.7387141818,3971528.2689537765
464823.9570238841,3971529.3253492364
464824.1460025415,3971530.455072593
464824.38536070456,3971531.537209531
464824.5640190899,3971532.588645715
464824.77467019646,3971533.670438006
464824.97297151183,3971534.766911097
464825.2117727692,3971535.863466657
464825.5031824766,3971536.9348743926
464825.7614923592,3971538.032802815
464825.96899536235,3971539.130010154
464826.2076234424,3971540.190745531
464826.4518057505,3971541.233438624
464826.7446883852,3971542.2565950346
464826.98396290885,3971543.330103524
464827.2497130438,3971544.388499375
464827.53006854106,3971545.4131922848
464827.8036934072,3971546.4442663086
464828.118583491,3971547.5441059894
464828.46816249675,3971548.632049791
464828.77421154326,3971549.6953065074
464829.1166744743,3971550.82313805
464829.45535638626,3971552.0413772305
464829.72275892046,3971553.1398197836
464830.01074851153,3971554.205991518
464830.26286739245,3971555.2567645027
464830.5162663313,3971556.382319087
464830.77275849716,3971557.417366498
464831.04633778386,3971558.467195105
464831.32342784374,3971559.499109875
464831.6126292364,3971560.581741565
464831.8998310134,3971561.598007343
464832.1019993915,3971562.640305914
464832.32903093734,3971563.638408775
464832.56617685425,3971564.6204048195
464832.8401437515,3971565.6455850024
464833.0614640074,3971566.6750076935
464833.33034697146,3971567.7266256125
464833.59654270706,3971568.820625121
464833.84391081013,3971569.8572264197
464834.05622806965,3971570.8823420093
464834.29320892703,3971571.886222137
464834.5617860177,3971572.8902026853
464834.84768914187,3971573.8371195043
464835.1721172255,3971574.7402682127
464835.6382698798,3971575.625451497
464836.4413069543,3971576.7273262455
464837.5515149985,3971577.831541986
464838.2546269962,3971579.038179072
464838.62135022605,3971580.194594533
464838.8994996733,3971581.271803967
464839.1587169678,3971582.435262946
464839.3975617073,3971583.5798936
464839.7107443679,3971584.6856568167
464840.0195751071,3971585.8098845338
464840.3288726219,3971586.8873898927
464840.678838518,3971588.0327820675
464841.051950811,3971589.1851471215
464841.4581338169,3971590.334918966
