%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1747640552556138529,1,1747640552535761106,,2,1,35.8869743347168,128.61151123046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1747640552801631693,2,1747640552781761106,,2,1,35.8869743347168,128.61151123046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1747640553057647942,3,1747640553041357236,,2,1,35.8869743347168,128.61151123046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1747640553553872594,4,1747640553536357236,,2,1,35.8869743347168,128.61151123046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1747640554059520302,5,1747640554040357236,,2,1,35.8869743347168,128.61151123046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1747640554564107314,6,1747640554546357236,,-1,1,35.8869743347168,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1747640554799853869,7,1747640554780357236,,2,1,35.8869743347168,128.61151123046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1747640555548248921,8,1747640555531930385,,2,1,35.8869743347168,128.61151123046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1747640555804193796,9,1747640555786930385,,2,1,35.8869743347168,128.61151123046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1747640556058699388,10,1747640556041930385,,2,1,35.8869743347168,128.61151123046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1747640556304810055,11,1747640556286930385,,2,1,35.8869743347168,128.61151123046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1747640556549940277,12,1747640556531930385,,2,1,35.8869743347168,128.61151123046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1747640556805553460,13,1747640556786930385,,2,1,35.8869743347168,128.61151123046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1747640557059810639,14,1747640557041930385,,2,1,35.8869743347168,128.61151123046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1747640557305138982,15,1747640557286930385,,2,1,35.8869743347168,128.61151123046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1747640557802394542,16,1747640557782930385,,2,1,35.8869743347168,128.61151123046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1747640558058035750,17,1747640558043179927,,2,1,35.8869743347168,128.61151123046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1747640558304457304,18,1747640558287179927,,2,1,35.8869743347168,128.61151123046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1747640559322727936,19,1747640559305179927,,-1,1,35.8869743347168,128.61151123046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1747640559798509673,20,1747640559780179927,,2,1,35.8869743347168,128.61151123046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1747640560053773815,21,1747640560035179927,,2,1,35.8869743347168,128.61151123046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1747640560307556862,22,1747640560290179927,,2,1,35.8869743347168,128.61151123046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1747640560556375246,23,1747640560540633369,,2,1,35.8869743347168,128.61151123046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
